lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.405,12.64189061279761,1.35458862959056,9.7799513301502
1.407,12.712375862250612,1.3554371946792767,9.900870193354747
1.409,12.79629568509715,1.35017537308255,9.84438291219684
1.411,12.903514009135778,1.3503317803226833,10.192920065426295
1.413,12.993580623133846,1.35126196777659,10.48031858098065
1.415,13.100887030432453,1.3488101172949032,10.151775440397833
1.417,13.18932320059047,1.34819153476062,10.2245191000372
1.419,13.258671680269119,1.3456168003492597,10.145076756112232
1.423,13.325859668891853,1.34315593478054,10.062503163292295
1.425,13.405451224607845,1.3425771508328201,10.117462817791266
1.427,13.486609039144694,1.34154990776084,10.1694673750963
1.429,13.586622674968522,1.34007410791696,10.144676834006233
1.431,13.682473612584053,1.3404319228563,10.1204105855604
1.433,13.793063953794313,1.3422153211503633,10.257733674327167
1.435,13.908340388193915,1.34273513831067,10.4080057789366
1.439,14.010610855852304,1.33476993524216,10.047425993855109
1.441,14.123888291397634,1.34062678683354,10.214676688879884
1.443,14.239746206617799,1.33499399936421,10.09535705872984
1.444,14.395863645167678,1.33602769499537,10.1817224115966
1.446,14.526106482992288,1.32415499834779,9.70955807377883
1.448,14.659173763013612,1.32475643280416,9.9763253901193
1.45,14.795188776779993,1.3212385291580733,9.993697459883121
1.452,14.920839916598398,1.32290000557416,10.068510021209551
1.456,15.060526492841927,1.3255273219342065,10.106206490646834
1.458,15.194842507318004,1.32384426353647,9.98979634613156
1.46,15.333542050365875,1.3145341809435234,9.886381510044593
1.462,15.492129951275473,1.31048369278886,10.19514761908205
1.464,15.650939210997775,1.30900303671375,10.148191943760333
1.466,15.83864905875037,1.30568536288634,10.1904057816525
1.468,16.03030173537787,1.30138693689664,9.74971513488436
1.47,16.217896197526795,1.30664101686363,9.938863515408205
1.474,16.41607739217582,1.30204480503678,9.610588437106307
1.476,16.618123734042513,1.30011365666183,9.63040685642864
1.478,16.845777505782824,1.29630377555995,9.788267069809462
1.48,17.079525072923353,1.29984286903852,9.96254321296143
1.482,17.30147471117923,1.29517548486974,9.760632896908879
1.484,17.551202444031205,1.29944854401609,9.78920201170939
1.486,17.812965609206493,1.29233120571466,9.877325718470923
1.49,18.085987728383923,1.29414094343313,9.742928938463141
1.492,18.30593001810328,1.28971700041338,9.726133447212277
1.494,18.52924924532929,1.2939895148967,9.75113002643444
1.496,18.712532339481818,1.28932068535585,10.4095493191578
1.498,18.88924304820849,1.29151044380896,9.89010867047801
1.5,19.037212572335715,1.2978607869553,9.888634764686463
1.502,19.139381776521923,1.2867032269755,9.653427927378914
1.504,19.224640669332373,1.28485026585904,9.610931608203414
1.508,19.28320340531113,1.28530877203732,10.0948471071025
1.51,19.31933798160836,1.28198520847332,9.739250870851164
1.512,19.335523645606944,1.27939607809615,9.817330103479865
