lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.18685936243589,4.53828467987632,1.037,0.896849232287358,5.06025373774554,2.18591472,9.48258357487922,22.814,-35.8334991,34.4864839033623
1.18607878166365,4.52093167729255,1.037,0.889279074607949,5.08381655026086,2.1811152,9.47837507246376,22.814,-35.8334991,34.1953891334075
1.18570921056283,4.51743524652209,1.037,0.495870914863834,9.11010327710504,2.1811152,9.47638299516907,22.814,-50.8965135,19.0676913219656
1.18572645534379,4.51759837136025,1.037,0.495949392960422,9.10899062582533,2.1811152,9.47647594202898,22.814,-50.8965135,19.0707090349962
1.1861061325202,4.48277694331954,1.037,0.482203348120262,9.29644508026421,2.16258372,9.47852251207729,22.814,-50.8965135,18.5421332866443
1.18682370605187,4.48951130903514,1.037,0.0682145092550889,65.8146097957924,2.16258372,9.48239130434782,22.814,-66.9401929,2.62304798923843
1.18831732094962,4.43579850977368,1.037,0.047652440753011,93.0864912621163,2.13005364,9.49044772946859,22.814,-66.9401929,1.83237613616878
1.18975688231154,4.44913429471696,1.037,0.39989160959956,11.1258505752901,2.13005364,9.49821719806762,22.814,-53.6423755,15.3770054776901
1.1911385521485,4.30695230719916,1.037,0.343495775146482,12.5385888818064,2.05606104,9.50567845410627,22.814,-53.6423755,13.2084202048651
1.19258513611194,4.31991836705357,1.037,0.355604351185943,12.1481032294645,2.05606104,9.51349468599033,22.814,-53.41682255,13.6740304742885
1.19390849951051,4.43263112904458,1.037,0.402071352196513,11.024488824755,2.10392292,9.52064908212559,22.814,-53.41682255,15.4608229748536
1.19566446277964,4.44877612748333,1.037,0.449632422082382,9.8942511905163,2.10392292,9.53014801932366,22.814,-51.88698515,17.2896856331428
1.19727717944872,4.35387992474787,1.037,0.4123790939519,10.5579550190672,2.05219476,9.53887787439612,22.814,-51.88698515,15.8571858832775
1.19876618640589,4.36726998203505,1.037,0.111265059388894,39.2510461596981,2.05219476,9.54694299516907,22.814,-63.71380505,4.27846793137724
1.19909400282259,4.28958982187023,1.037,0.0800374520062369,53.5947823718322,2.01433188,9.54871922705313,22.814,-63.71380505,3.07767482081629
1.19921638823915,4.29067110280464,1.037,0.137940289420813,31.1052783840052,2.01433188,9.54938241545893,22.814,-61.5073088,5.30420877832876
1.19860347510736,4.29830374333537,1.037,0.140613133997624,30.5682948749866,2.0204646,9.54606144927535,22.814,-61.5073088,5.40698749314048
1.19763309057118,4.2897116840786,1.037,0.529219073439993,8.10573900179923,2.0204646,9.54080521739129,22.814,-46.4050678,20.3500258465883
1.19627733535925,4.42195627660918,1.037,0.581781890135128,7.60071145490986,2.08859112,9.53346492753622,22.814,-46.4050678,22.3712203424001
1.19518320102789,4.41196180701968,1.037,0.54126318383654,8.15123204158677,2.08859112,9.52754396135265,22.814,-47.7779988,20.8131572229307
1.19388938175828,4.08922878062208,1.037,0.409932648959519,9.97536739511055,1.94100588,9.52054570048308,22.814,-47.7779988,15.763112896634
1.19250136585017,4.07747073039917,1.037,0.580751152022626,7.02102908655153,1.94100588,9.51304193236714,22.814,-40.991797,22.3315854382872
1.19128035432142,4.06071352310828,1.037,0.573182794246765,7.0845000301249,1.93793952,9.50644444444444,22.814,-40.991797,22.0405598799038
1.19021442261071,4.05171664793925,1.037,0.441846692564,9.16996034173635,1.93793952,9.50068753623187,22.814,-45.8755087,16.9903014935959
1.18929159655343,3.96603777932849,1.037,0.406680914530263,9.75221024057513,1.90060992,9.49570550724637,22.814,-45.8755087,15.6380741688129
1.18849985894591,3.95949412291408,1.037,0.91053105003896,4.34855475026871,1.90060992,9.49143265700482,22.814,-26.3798885,35.0125899317479
1.18878003235226,3.97348123541349,1.037,0.91635222054835,4.33619425621705,1.90620936,9.49294454106279,22.814,-26.3798885,35.236431014333
1.18936036754224,3.97829250236261,1.037,0.717194238963164,5.54702239119205,1.90620936,9.49607671497584,22.814,-34.127142,27.5782223891814
1.19025604229,3.92885548525834,1.037,0.697824337851706,5.63014969835182,1.87901208,9.50091227053139,22.814,-34.127142,26.8333928695236
1.19148209731466,3.93889022249036,1.037,0.372901498731789,10.5628168186136,1.87901208,9.5075342995169,22.814,-46.80714045,14.339156538892
1.19305341858336,3.82923706471303,1.037,0.329604327739,11.6176783568972,1.82075124,9.5160258937198,22.814,-46.80714045,12.6742533012589
1.19384499942555,3.83552853696645,1.037,-0.0259379612405871,-147.873169421069,1.82075124,9.52030570048308,22.814,-60.59529035,-0.997390699134741
1.19477439933076,3.79508469921449,1.037,-0.0417147712654053,-90.9769988925196,1.79808684,9.52533236714975,22.814,-60.59529035,-1.60405532611964
1.1958239703304,3.80333560377402,1.037,0.222645203836077,17.0824951009241,1.79808684,9.53101120772946,22.814,-50.5827007,8.56136122084955
1.19749146718086,3.90842533388821,1.037,0.266183877938558,14.683178275697,1.84141584,9.54003826086956,22.814,-50.5827007,10.2355509615036
1.19885599060838,3.91943705286639,1.037,0.704530922137877,5.5631866958699,1.84141584,9.54742956521738,22.814,-33.931009,27.0912807092017
1.19951908153038,3.80487798119434,1.037,0.658547274450027,5.77768389425331,1.7851548,9.55102280193236,22.814,-33.931009,25.3230745618202
1.19974655036816,3.8066597386445,1.037,0.459462513590196,8.28502788812872,1.7851548,9.5522556521739,22.814,-41.6194226,17.6676814883527
1.19953316521999,3.80243079082551,1.037,0.457621174472617,8.30912335996602,1.78395492,9.55109913043477,22.814,-41.6194226,17.5968765976833
1.19934525745348,3.80096014090426,1.037,0.290887903111803,13.0667521758144,1.78395492,9.55008077294685,22.814,-48.00355175,11.1854931990774
1.19887417931929,3.69000504780675,1.037,0.245679226166229,15.0196054643629,1.73355996,9.54752811594202,22.814,-48.00355175,9.44708695012572
